TournamentId,GameId,TournamentName,StartDate,EndDate,Location,,TotalUSDPrize,,,
33482,443,Surf League 1v1s,23/03/2019,23/03/2019,online,,34.5,,,
33493,566,UMG Apex Legends Series Week 3,23/03/2019,23/03/2019,Online,,3000,,,
33540,558,WSA: Sword,23/03/2019,23/03/2019,"Waterville, ME",,660,,,
33528,443,XP All Stars 2v2,23/03/2019,23/03/2019,online,,100,,,
33471,245,CIS ESPORTS LEAGUE CHALLANGER MARCH PART #2,15/03/2019,22/03/2019,Online,,625,,,
33486,443,FNB 2019 NA #2,22/03/2019,22/03/2019,online,,100,,,
33504,566,Strong Esports: 1k Invitational Series #2 - Qualifier,22/03/2019,22/03/2019,Online,,500,,,
33519,245,ECS S7 - Europe Series 2,18/03/2019,21/03/2019,Online,,25000,,,
33518,245,ECS S7 - NA Series 2,18/03/2019,21/03/2019,Online,,25000,,,
33438,245,FACEIT Pro League EU March Week #3 2019 (CS:GO),13/03/2019,20/03/2019,Online,,5200,,,
33446,245,LOOT.BET Hotshot Series Season 2: CIS Qualifier,18/03/2019,20/03/2019,Online,,2500,,,
33433,245,LOOT.BET/CS Season 1,04/02/2019,20/03/2019,Online,,30000,,,
,,,,,,,,,,
33439,245,FACEIT Pro League NA 12/03 -19/03 2019 (CS:GO),12/03/2019,19/03/2019,Online,,10000,,,
,,,,,,,,,,
33491,566,Apex Arena Weekly #5,17/03/2019,17/03/2019,Online,,150,,,
33389,549,CWL 2019 Fort Worth,15/03/2019,17/03/2019,"Fort Worth, TX",,325000,,,
33378,549,CWL 2019 Fort Worth (Open),15/03/2019,17/03/2019,"Fort Worth, TX",,75000,,,
33368,443,Final Round 2019 (Brawlhalla 1v1s),16/03/2019,17/03/2019,"Atlanta, USA",,660,,,
33387,443,Final Round 2019 (Brawlhalla 2v2s),15/03/2019,17/03/2019,"Atlanta, USA",,200,,,
33420,443,Final Round 2019 (Brawlhalla Doubles),15/03/2019,17/03/2019,"Atlanta, Georgia",,10000,,,
33419,443,Final Round 2019 (Brawlhalla Singles),16/03/2019,17/03/2019,"Atlanta, Georgia",,10000,,,
33366,541,Final Round 2019 (DBFZ),15/03/2019,17/03/2019,"Atlanta, USA",,1460,,,
,,,,,,,,,,
,,,,,,,,,,
33396,536,Final Round 2019 (SFV:AE),15/03/2019,17/03/2019,"Atlanta, USA",,18270,,,
33379,558,Final Round 2019 (SSBU Singles),16/03/2019,17/03/2019,"Atlanta, USA",,1600,,,
33397,406,Final Round 2019 (T7),15/03/2019,17/03/2019,"Atlanta, USA",,2960,,,
33434,245,Go4CS:GO EU #347,17/03/2019,17/03/2019,Online,,113.27,,,
